id,marker1,marker2,total_address,parcel_address,road_address
57,36.36115089,127.35096,대전 유성구 궁동 426-7 (대전광역시 유성구 대학로159번길 7),대전 유성구 궁동 426-7,대전광역시 유성구 대학로159번길 7
58,36.36299312,127.3508039,대전 유성구 궁동 402-1 (대전광역시 유성구 대학로155번길 50),대전 유성구 궁동 402-1,대전광역시 유성구 대학로155번길 50
59,36.36332371,127.3500093,대전 유성구 궁동 399-6(대전 유성구 대학로151번길 59),대전 유성구 궁동 399-6,대전 유성구 대학로151번길 59
60,36.36289911,127.3478982,대전 유성구 궁동 395-13 (대전광역시 유성구 궁동로18번길 9),대전 유성구 궁동 395-13,대전광역시 유성구 궁동로18번길 9
61,36.36154731,127.3485306,대전 유성구 궁동 419-10(대전 유성구 궁동로2번길 17-6),대전 유성구 궁동 419-10,대전 유성구 궁동로2번길 17-6
62,36.36154377,127.3509729,대전 유성구 궁동 426-3(대전 유성구 대학로159번길 17),대전 유성구 궁동 426-3,대전 유성구 대학로159번길 17
63,36.36256511,127.3418521,대전 유성구 궁동 450-2 (대전광역시 유성구 대학로81번길 32-36),대전 유성구 궁동 450-2,대전광역시 유성구 대학로81번길 32-36
64,36.36091433,127.3505021,대전 유성구 궁동 425-9(대전 유성구 궁동로2번길 55),대전 유성구 궁동 425-9,대전 유성구 궁동로2번길 55
65,36.36302839,127.3514531,대전 유성구 궁동 6-9 (대전광역시 유성구 대학로163번길 57),대전 유성구 궁동 6-9,대전광역시 유성구 대학로163번길 57
66,36.36352875,127.3498453,대전 유성구 궁동 399-17 (대전광역시 유성구 대학로145번길 56),대전 유성구 궁동 399-17,대전광역시 유성구 대학로145번길 56
67,36.36448902,127.3396744,대전 유성구 장대동 317-6(대전 유성구 유성대로822번길 22),대전 유성구 장대동 317-6,대전 유성구 유성대로822번길 22
68,36.36504449,127.3390746,대전 유성구 장대동 315-13 (대전광역시 유성구 유성대로822번길 5),대전 유성구 장대동 315-13,대전광역시 유성구 유성대로822번길 5
69,36.36235811,127.3480017,대전 유성구 궁동 414-4 (대전광역시 유성구 궁동로14번길 12),대전 유성구 궁동 414-4,대전광역시 유성구 궁동로14번길 12
70,36.36462311,127.3394209,대전 유성구 장대동 317-4(대전 유성구 유성대로822번길 18),대전 유성구 장대동 317-4,대전 유성구 유성대로822번길 18
71,36.36252647,127.3482113,대전 유성구 궁동 413-8 (대전광역시 유성구 궁동로14번길 13),대전 유성구 궁동 413-8,대전광역시 유성구 궁동로14번길 13
72,36.36340212,127.3503127,대전 유성구 궁동 400-15(대전 유성구 대학로151번길 62),대전 유성구 궁동 400-15,대전 유성구 대학로151번길 62
73,36.36303575492195,127.35124703941835,대전 유성구 궁동 403-1 (대전광역시 유성구 대학로159번길 52),대전 유성구 궁동 403-1,대전광역시 유성구 대학로159번길 52
